gene_id,GSM883944,GSM883945,GSM883946,GSM883947,GSM883948,GSM883949,GSM883950,GSM883951,GSM883952,GSM883953,GSM883954,GSM883955,GSM883956,GSM883957,GSM883958,GSM883959,GSM883960,GSM883961,GSM883962,GSM883963,GSM883964,GSM883965,GSM883966,GSM883967,GSM883968,GSM883969,GSM883970,GSM883971,GSM883972,GSM883973,GSM883974,GSM883975,GSM883976,GSM883977,GSM883978,GSM883979,GSM883980,GSM883981,GSM883982,GSM883983,GSM883984,GSM883985,GSM883986,GSM883987,GSM883988,GSM883989,GSM883990,GSM883991,GSM883992,GSM883993,GSM883994,GSM883995,GSM883996,GSM883997,GSM883998,GSM883999,GSM884000,GSM884001,GSM884002,GSM884003,GSM884004,GSM884005,GSM884006,GSM884007,GSM884008,GSM884009,GSM884010,GSM884011,GSM884012,GSM884013,GSM884014,GSM884015,GSM884016,GSM884017,GSM884018,GSM884019,GSM884020,GSM884021,GSM884022,GSM884023,GSM884024,GSM884025,GSM884026,GSM884027,GSM884028,GSM884029,GSM884030,GSM884031,GSM884032,GSM884033,GSM884034,GSM884035,GSM884036,GSM884037,GSM884038,GSM884039,GSM884040,GSM884041,GSM884042,GSM884043,GSM884044,GSM884045,GSM884046,GSM884047,GSM884048,GSM884049,GSM884050,GSM884051,GSM884052,GSM884053,GSM884054,GSM884055,GSM884056,GSM884057,GSM884058,GSM884059,GSM884060,GSM884061,GSM884062,GSM884063,GSM884064,GSM884065,GSM884066,GSM884067,GSM884068,GSM884069,GSM884070,GSM884071,GSM884072,GSM884073,GSM884074,GSM884075,GSM884076,GSM884077,GSM884078,GSM884079,GSM884080,GSM884081,GSM884082,GSM884083,GSM884084,GSM884085,GSM884086,GSM884087,GSM884088,GSM884089,GSM884090,GSM884091,GSM884092,GSM884093,GSM884094,GSM884095,GSM884096,GSM884097,GSM884098,GSM884099,GSM884100,GSM884101,GSM884102,GSM884103,GSM884104,GSM884105,GSM884106,GSM884107,GSM884108,GSM884109,GSM884110,GSM884111,GSM884112,GSM884113,GSM884114,GSM884115,GSM884116,GSM884117,GSM884118,GSM884119,GSM884120,GSM884121,GSM884122,GSM884123,GSM884124,GSM884125,GSM884126,GSM884127,GSM884128,GSM884129,GSM884130,GSM884131,GSM884132,GSM884133,GSM884134,GSM884135,GSM884136,GSM884137,GSM884138,GSM884139,GSM884140,GSM884141,GSM884142,GSM884143,GSM884144,GSM884145,GSM884146,GSM884147,GSM884148,GSM884149,GSM884150,GSM884151,GSM884152,GSM884153,GSM884154,GSM884155,GSM884156,GSM884157,GSM884158,GSM884159,GSM884160,GSM884161,GSM884162,GSM884163,GSM884164
FCGR3A,4.338523,4.509917,3.752069,3.304002,3.873235,4.850658,3.690543,3.355219,3.126327,3.884446,3.292367,3.983276,4.033641,4.541386,3.518119,4.238555,4.119599,3.510865,2.942099,3.338465,4.364009,3.31789,3.904702,3.808412,3.878896,3.579708,3.169087,3.658395,3.495899,3.520707,3.214454,4.769866,6.42226,4.823115,3.718399,5.274212,5.083532,4.287722,3.394823,4.296494,3.682489,4.058234,4.811256,4.850945,5.298908,3.760643,3.526099,3.494569,5.263521,4.052805,5.557411,3.986117,3.720875,4.371216,4.363451,4.632734,3.933594,4.010581,4.049825,4.262729,4.075915,5.271389,3.945592,3.629263,3.438273,4.04529,3.563811,3.769832,4.361029,3.911885,4.666839,5.84505,3.597491,3.758437,3.716137,3.725052,3.310391,3.574456,3.802106,3.36178,4.8093,3.467573,4.023758,3.396138,4.167338,4.049552,2.956772,3.538432,3.583014,3.731109,3.889797,4.233883,3.445606,3.758285,3.243336,3.142211,3.465824,3.988056,3.08308,3.492382,3.6017,3.403112,4.109337,4.007309,3.639293,3.390309,3.481517,3.198649,4.523955,3.780726,3.673478,4.184774,3.311138,3.910479,4.424521,4.173658,3.707357,3.34713,3.244271,3.530857,6.73919,3.881843,3.490022,3.547029,3.554285,3.293573,4.984214,4.204296,3.578837,4.559003,3.593516,3.728968,5.183524,3.77389,4.939448,3.799402,4.555777,3.885716,5.277093,3.380219,3.360212,3.9788,3.508785,3.562461,4.154118,3.782554,3.761293,4.124097,4.881525,3.293573,4.84119,4.08323,3.819074,4.544908,3.677704,3.62565,3.560769,3.256525,3.180992,4.82104,3.629356,4.089226,4.468485,4.129594,3.789445,4.181786,3.73776,4.104077,5.284563,3.232214,5.019778,4.028404,3.767149,3.305079,4.068331,3.364295,4.25567,3.459756,3.947634,4.241159,3.776927,4.490534,5.124088,4.015204,4.04565,3.679989,3.765936,3.70287,4.457207,4.535403,3.888632,3.676027,4.140625,3.617328,4.171595,3.842131,4.190912,3.470834,3.504631,4.092433,4.25211,3.52305,5.06906,3.668979,4.40477,3.369218,4.672649,4.750668,5.241265,3.868299,5.941085,3.860453,3.452994,4.137319,3.581747,4.142802,3.907623,3.702088,5.470172,4.201024,4.675095
GPX1,6.716691,6.33801,6.5023975,6.051813,6.614283,6.833056,6.153408,6.0541635,6.418223,6.8043645,6.7231375,6.505535,6.679093,6.7162975,6.72704,6.677157,6.9385985,6.920758,6.700865,6.9694685,6.8696645,6.659084,6.7444615,6.4594585,6.6552495,6.530722,6.5640705,7.0174845,6.65313,7.0232245,6.523301,7.354549,7.846504,7.284989,7.4638185,7.12635,7.138859,7.4122445,7.6893385,7.539486,7.3712445,7.561925,7.132145,7.3167915,7.232198,7.299866,7.4238745,7.537821,7.3379455,7.498951,7.561668,7.4209765,7.1869955,7.4656055,7.5509815,7.3679675,7.0983105,7.5441955,7.235513,7.32064,7.1383105,7.5666445,7.3825655,7.352816,7.29309,7.223729,7.5976485,7.1838495,7.2931925,7.288767,7.1746285,7.287897,7.2302105,7.579553,7.3032915,7.1840245,7.261163,7.6574545,7.4823945,7.552434,7.337164,7.1110025,7.779415,7.096668,7.308588,7.0867195,7.8378365,7.512417,7.252415,7.2296295,7.4927005,7.485219,7.4183925,7.6136495,7.697939,7.3654595,7.1407355,7.0818495,7.2172605,7.052381,7.494,7.441533,7.1090005,7.299986,7.4934975,7.792008,7.605043,7.79988,7.283064,7.612083,7.5439185,7.222182,7.861862,7.236612,7.1748065,7.6380165,7.428128,7.7822205,7.459048,7.073422,6.9102685,6.735909,6.8639385,7.1972035,7.206088,6.983304,7.116098,6.7882425,7.2688395,6.872544,7.4497285,7.195451,7.2183595,6.8772655,6.873477,6.853126,7.0899005,7.095483,7.019082,7.568139,7.4469215,7.135184,7.690975,7.354608,7.3980825,7.1108545,6.9385875,6.9481575,7.234549,6.811466,6.9770825,7.43247,7.6194025,7.4049685,7.276276,7.3943265,6.908804,7.028099,7.1912625,6.8932695,7.0975785,7.280431,6.6008685,7.489244,7.4932845,7.1060205,7.3487085,6.8435325,7.524937,6.890154,7.1827055,7.5875725,7.560884,7.675919,7.356091,7.2935985,7.7768465,7.4172235,6.945103,7.088792,7.855885,7.14211,7.2549445,7.4917635,7.9280655,7.2881285,7.4354415,7.3186785,7.2262205,7.28449,7.3260695,7.5128235,7.364417,7.692403,7.159568,7.451887,7.0652855,6.9778885,7.272575,7.08611,6.8160445,7.054344,6.896433,7.4574635,7.2321125,7.15148,7.062858,7.4633175,7.0927605,7.501135,7.364893,7.12759,7.0686185,7.1029075,7.008436,7.509472,7.15818,7.42913,7.527886,7.3896985,6.573928
HDAC2,6.933442,7.35646,6.456487,7.19795,6.860796,6.931201,7.382768,6.839297,7.137861,6.776965,7.301494,7.104272,6.99592,6.444132,7.099619,6.790447,6.572802,7.173246,6.946461,6.331333,5.784639,7.30136,6.411776,7.217906,7.13752,7.236682,7.39473,6.64019,6.86928,6.525558,7.051774,7.044003,6.426389,6.219072,6.907386,6.701513,6.660572,6.85541,6.632516,6.516828,6.47391,6.691591,5.918177,6.199804,6.647986,6.363351,6.199388,6.909476,6.148356,6.365469,6.032598,6.342835,6.64481,6.621151,6.713215,6.930884,6.174531,6.404178,6.753511,6.50974,7.184722,6.483983,6.618796,6.408033,6.914919,6.135502,6.489747,6.469703,6.245627,6.323494,5.795089,6.533675,6.61622,6.472932,6.438991,6.613455,6.432709,6.964391,7.107208,7.097733,7.035384,6.77922,6.539397,6.226652,6.407751,6.34415,7.201555,6.38334,6.846292,6.358932,6.510901,6.257593,6.293298,6.372875,6.693271,6.622509,5.982009,6.413379,5.743608,5.842948,6.239793,6.083577,5.110557,6.067513,6.59523,6.840874,6.547846,6.984509,5.891844,6.359051,6.925844,6.401093,7.160275,6.28516,6.194498,6.567224,6.674114,7.106757,6.71723,6.269883,6.313845,6.431918,6.445506,6.659333,6.120251,6.653596,6.351159,5.984182,6.521884,5.349748,6.747773,5.738897,6.499665,6.35561,6.378901,5.987771,6.555414,6.481781,5.881039,6.859619,6.854953,5.942947,6.701926,6.317061,6.390962,5.745044,5.913949,5.937669,6.889047,6.675466,5.919632,6.417195,6.521592,6.405984,5.867589,6.559795,6.41512,6.11043,6.783854,5.874169,6.312924,6.457297,5.404329,7.082513,6.156012,6.412445,6.466859,6.356137,6.868814,6.564765,6.340103,6.325386,5.899625,6.262377,6.412699,6.52384,6.554098,5.878541,5.929289,5.765008,5.929842,5.795657,5.827594,6.350483,5.970388,6.358245,6.119505,5.918599,6.193613,6.125141,5.690186,5.708425,6.145551,6.523566,6.161455,6.09655,6.006673,5.938818,6.113533,5.951313,5.725695,6.067794,6.129782,6.382961,6.173066,6.476976,5.96234,6.207946,6.061305,6.307492,5.982738,6.146324,5.90163,6.120981,6.170594,6.322549,6.097263,6.227581,6.063911,6.189682,5.943085
HMOX1,4.626843,4.38421,4.588864,4.524471,4.508902,4.625478,4.33629,4.140993,4.179012,4.591139,4.571538,4.142566,4.647958,4.406564,4.332188,5.100152,4.488248,4.251882,4.404342,4.619497,4.610777,5.220587,4.431627,4.513319,4.452751,4.336946,4.525859,4.748571,4.401576,4.352471,4.534874,4.716247,4.929506,4.575244,4.491498,4.228257,4.641815,4.258674,4.498972,4.467933,4.405281,4.485136,4.869234,4.732471,4.47183,4.563782,4.486809,4.432238,4.552226,4.684528,4.588754,4.447446,4.652242,4.376487,4.599705,4.303141,4.588225,4.458689,4.335688,4.710845,4.804001,4.756099,4.5503,4.552534,4.287073,4.495879,4.533506,4.335441,4.614898,4.445562,4.576233,4.7544,4.093898,4.387783,4.684951,4.26482,4.163246,4.593596,4.561957,4.505454,4.668743,4.264859,5.090899,4.615151,4.598711,4.673066,4.88257,4.555886,4.397025,4.482955,4.396164,4.833956,4.81474,4.911409,5.187629,5.681769,4.530617,4.528178,4.277689,4.539055,4.4379,4.549349,4.749819,4.611103,4.678644,5.324454,4.768353,4.644624,4.673724,4.707806,4.809608,4.885688,4.705861,4.692846,4.695607,4.612044,4.485159,4.703048,4.391634,4.774185,5.507546,4.341122,4.225673,4.190427,4.363676,4.524752,5.023779,4.670835,4.462314,5.150033,4.81331,4.789924,5.115589,4.428625,4.745573,4.771582,4.923219,4.856057,4.725173,4.61705,4.766073,5.174594,4.826704,4.557131,5.128901,4.603772,4.793858,4.875187,4.481448,4.232966,4.449005,4.43711,4.916368,4.730468,4.53053,4.559273,4.340425,4.492168,4.437266,4.973817,4.403269,4.741712,5.381779,5.129362,5.038681,4.525894,4.597522,4.798068,5.123684,4.81357,4.986803,4.915,4.939505,4.531674,4.87569,4.525124,5.21503,5.090827,4.689342,4.861978,5.559221,5.027926,5.314172,5.56619,5.404378,5.751871,5.098207,4.761947,4.859048,4.679612,4.847336,4.825014,4.742866,5.093622,4.823463,4.537071,4.610981,4.839685,4.770298,5.067204,4.822054,4.769707,4.984804,4.615796,5.112525,4.115688,5.016106,5.171701,5.349183,4.848306,5.163683,4.673062,5.081737,5.08786,4.212032,4.672508,4.633554,4.643391,4.816791,4.804501,5.084881
IGKC,8.05355246153846,5.59166930769231,6.51098538461538,5.23977861538462,6.28701192307692,6.40611284615385,6.83873769230769,5.56054169230769,4.95078815384615,7.39499184615385,5.16425653846154,4.92266838461538,6.40063676923077,6.71951376923077,5.49019053846154,7.15366292307692,7.98880492307692,5.296423,6.58673892307692,6.98310438461538,7.67119707692308,6.05398692307692,7.37853261538462,5.78302461538462,5.32607361538462,6.01094023076923,5.637087,5.02826130769231,6.85440469230769,6.09126607692308,6.49939769230769,7.81644469230769,7.11424007692308,6.04015230769231,8.98194,6.56855153846154,7.28886023076923,6.51272515384615,5.52176869230769,8.34118846153846,6.72609392307692,7.88516107692308,6.78978392307692,7.67801715384615,6.830102,7.09287984615385,5.62620338461538,4.94591523076923,7.15475846153846,5.84376038461538,7.76342461538461,7.47503453846154,7.226176,8.85829561538462,8.62218153846154,8.33082753846154,8.38708730769231,8.05428384615385,5.87477030769231,7.755266,6.78524884615385,6.06457784615385,8.62520238461538,7.40574830769231,4.95746161538462,7.57535192307692,5.91842030769231,4.92282023076923,8.65761915384615,7.09845923076923,5.58266492307692,6.22747853846154,5.62104953846154,4.83485115384615,5.559062,6.942041,6.13907192307692,5.13922884615385,5.18335,5.25637361538462,5.07086992307692,5.47492269230769,7.82106238461538,7.56707961538461,7.21210915384615,5.88246661538462,6.31146184615385,6.439315,5.12945369230769,6.60513607692308,8.51427984615385,7.27384869230769,5.85561192307692,7.11010023076923,6.75374730769231,5.49762415384615,5.38532176923077,5.08516092307692,6.16597930769231,7.98658176923077,7.28670738461538,6.41515230769231,6.82682915384615,7.74802823076923,7.32898707692308,6.16307630769231,6.61127592307692,5.16562569230769,7.95808546153846,7.41985376923077,7.51219992307692,6.88761546153846,5.72629007692308,8.55423438461538,6.65798323076923,6.25872469230769,6.09472961538462,6.29221876923077,5.65219130769231,5.60832584615385,6.21577892307692,6.28586523076923,5.00774915384615,5.11103653846154,5.35604507692308,6.55973446153846,8.65109546153846,7.16891176923077,6.64112369230769,6.759459,6.44941615384615,6.305249,6.592989,5.56328261538462,8.32834346153846,6.48481361538462,6.80538338461538,6.36304530769231,6.29730876923077,5.66181,5.97284153846154,7.00675223076923,5.60874884615385,6.60546084615385,7.41828707692308,5.44356284615385,7.25978107692308,7.22292238461538,6.64946792307692,5.45296807692308,7.59015446153846,6.90826453846154,5.72455638461538,5.165889,6.97649015384615,5.39582953846154,7.17756253846154,5.80216553846154,6.308745,5.45307446153846,6.83782746153846,5.57164276923077,8.15511023076923,4.96749015384615,6.40042569230769,7.57901546153846,5.08103123076923,6.80250853846154,6.58435076923077,7.33082607692308,8.51379623076923,7.76266776923077,7.86187376923077,5.48108630769231,7.33242292307692,5.53568538461538,4.93221515384615,6.79701469230769,7.07844730769231,6.69682792307692,6.82287661538462,6.09398053846154,7.27954992307692,8.39442915384615,6.89654076923077,7.32093553846154,6.89863469230769,6.46606523076923,8.59343123076923,7.78415530769231,6.35890407692308,7.66880907692308,8.13434984615385,6.27714423076923,8.97515607692308,6.425741,8.07099146153846,7.86533361538462,6.70501438461538,6.25795938461538,7.82013361538462,7.30487130769231,7.01566984615385,7.31554369230769,5.64334146153846,7.13018953846154,8.12002669230769,7.92193584615385,6.78211107692308,7.86306976923077,6.82203046153846,7.31221546153846,7.84037323076923,7.03958384615385,7.96277069230769,7.26142330769231,7.78804553846154,6.13699738461538,8.32220192307692,6.99056838461538,6.55061561538462
IL13,3.724566,3.32071,3.917141,3.24433,3.758024,3.848001,3.141983,3.269584,3.326334,3.329401,3.343337,3.600674,3.343741,3.737674,3.487291,3.148488,3.361041,2.972835,3.657917,3.503173,3.44686,3.028332,3.733198,3.411509,3.617239,3.498262,2.981423,3.438595,3.322476,3.882914,3.346636,3.05185,3.040762,3.319256,2.935653,2.691822,3.038544,3.124482,2.960533,3.091157,3.626709,3.308294,3.595801,2.872931,2.635115,3.523332,3.28227,2.932394,3.390431,3.386197,3.754146,3.313086,2.894496,3.285195,3.298564,2.78792,3.166354,3.474959,3.263109,3.156391,4.129303,3.408795,2.980071,3.393216,3.040945,3.901726,3.560155,3.22646,3.598638,3.206799,3.616242,3.307893,3.379938,3.285725,3.568244,3.194174,3.369875,3.20404,3.337152,3.28885,3.036183,3.08482,3.110309,2.958977,3.661438,3.334677,3.020948,3.027682,3.096814,3.200811,3.19674,3.618695,3.331194,3.374751,3.734301,3.321824,3.356647,3.404689,3.690194,3.94771,3.75862,3.523945,3.682393,3.743617,3.494823,3.045594,3.754729,3.291872,2.90844,3.350158,3.327946,3.481727,3.167752,3.373175,3.251437,3.467549,3.662397,3.653367,3.372634,3.185993,3.462347,3.27632,2.920417,3.145061,3.877474,3.296342,3.192188,3.541645,3.706198,4.018908,3.158694,3.57506,3.350465,3.247267,3.419105,3.769485,3.090539,3.743575,3.685592,3.585561,3.498576,4.30214,3.62392,3.307811,3.730984,3.531763,3.560922,3.588564,3.158085,2.957297,3.851015,3.181439,3.391937,3.516483,3.65873,3.471044,3.28124,3.621975,3.401776,3.631146,3.203065,3.58984,4.158463,2.988172,3.764227,3.091662,3.309327,3.416544,3.782208,3.330306,3.560155,3.695881,3.802238,4.027009,3.318271,3.496749,3.99803,3.843878,3.694593,3.491525,3.952355,4.188585,4.044804,3.966167,4.359149,3.864858,3.501071,4.387973,4.283192,3.636906,4.319877,3.873228,3.773744,3.722214,3.586985,3.545655,3.568853,3.958908,3.71728,4.02763,4.06232,3.647173,3.694032,3.81427,3.914959,3.788295,3.440722,3.666766,3.627951,3.528971,3.55583,3.645707,4.056148,3.557886,3.691015,3.483176,3.748047,3.745892,4.163667,3.632386,3.948158
IL13RA1,6.990078,7.896935,7.191139,8.038527,6.979298,6.856431,7.539015,7.013328,7.604033,7.226019,7.081115,7.841915,7.561478,6.826242,7.373134,7.298024,7.364027,7.455449,7.148324,6.910445,6.338394,7.238767,7.16781,7.530318,7.798074,7.464933,7.428984,7.359144,7.344422,6.946537,7.804639,7.391608,6.975411,7.135545,7.436853,7.576412,7.305183,7.243593,7.148748,6.929152,7.148605,7.083617,7.083481,6.744154,7.317296,7.014517,6.834022,7.475846,7.008308,7.091004,6.929683,6.798858,7.305671,7.243423,7.214179,7.331757,6.917143,6.682054,7.278297,7.288955,6.437494,7.219151,7.075544,6.808028,7.454908,6.686508,6.760108,7.07035,6.918652,6.949841,7.195323,7.19632,7.200621,6.733898,7.428374,6.962147,6.726614,6.881031,6.911588,7.26265,7.730131,7.713103,6.861192,6.607499,7.103359,7.092991,7.221649,6.802685,7.313541,6.758568,7.11016,6.593369,6.591873,6.650205,6.952579,7.172338,6.877667,7.061941,6.16477,6.78899,6.678307,6.987442,6.245959,6.649158,7.093014,7.077659,6.810895,6.946085,6.852862,6.426879,7.167354,7.147614,7.02247,6.947333,7.111855,6.827654,7.539306,7.157179,6.915318,7.1507,7.205304,7.197208,7.462503,7.503154,6.910759,6.937624,7.205413,6.029981,6.818074,6.191553,6.970432,6.711899,6.9294,7.237856,7.192452,6.852567,7.307333,6.925986,6.52985,6.908411,6.808368,5.976998,6.911272,6.778026,6.840675,6.256217,6.587529,6.49765,7.230689,7.030692,6.900915,6.674423,6.732448,6.984087,6.623205,6.973876,6.877976,6.352225,7.462333,6.886726,7.390127,6.701915,5.372178,7.35976,6.833733,7.151348,6.894443,7.275091,7.70202,7.386765,7.381353,6.902341,6.720455,7.53198,7.167843,6.96681,6.661952,6.542571,6.673128,6.373458,6.340246,6.54813,6.651898,7.074549,5.838324,6.967441,6.748487,5.627187,6.436516,6.366669,6.334671,5.934866,6.786199,7.069362,6.542087,6.781968,6.619102,6.121957,6.238721,6.758125,6.392817,6.717311,7.022658,6.79946,7.111528,7.123606,7.157854,7.460281,6.459701,6.840766,6.744537,6.791734,6.952575,6.401461,7.320068,6.96217,6.893159,7.10538,7.195241,7.461688,7.084344
IL17A,5.564371,4.422686,4.724349,4.144304,4.192701,5.200999,4.257637,4.342542,4.06067,4.344824,4.103631,4.309151,4.656444,4.71555,4.14758,4.540667,4.315483,4.12108,4.455089,4.413177,4.715611,4.236509,4.717282,4.118312,4.345817,3.992901,4.011286,4.621134,3.948356,4.408745,4.35191,3.832318,4.542618,4.179432,4.247924,4.325305,4.26897,4.148997,4.346665,4.904479,4.577636,4.5095,4.643086,4.712457,3.932909,4.966938,4.597398,4.186369,4.858556,4.67934,4.558197,4.807949,4.473927,4.468604,4.115816,4.123603,4.801749,4.648767,4.190033,4.64402,4.834721,4.353853,4.268637,4.596231,4.318295,4.674986,4.233391,4.365857,4.670849,4.468918,4.638293,4.562932,4.2164,4.232909,4.615119,4.439958,4.162585,4.237644,4.256886,4.209227,4.208806,4.515221,4.273116,4.424405,4.583141,4.373284,4.335855,4.115039,4.421194,4.617844,4.359474,4.560832,4.733057,4.429892,4.555374,4.220299,4.711545,4.464646,4.455292,4.829381,4.446046,4.412738,5.191255,4.736345,4.635382,4.365289,4.742188,4.577816,4.584331,4.416704,4.492288,5.00822,4.481578,4.362533,4.955165,4.626532,4.120636,4.264764,4.095027,4.648331,4.777572,4.236116,4.03088,4.094175,4.251826,4.270965,4.199439,5.175628,4.319557,5.778606,4.766327,4.759928,4.678113,4.25411,4.479242,4.380506,4.314958,4.483211,5.261308,4.583078,4.164006,5.299426,4.393463,4.398468,4.29403,4.77322,4.328164,4.921539,4.402733,3.885952,4.510701,4.255513,4.422793,4.161427,4.529878,4.213794,4.48058,4.634122,4.028309,5.08947,4.15012,4.813135,5.860664,3.852454,4.534741,4.248768,4.062862,3.960992,4.197877,4.845335,4.229502,4.281796,4.457066,4.031713,3.845366,4.323092,4.021037,4.103323,4.290215,4.441649,4.449233,4.885251,4.648365,4.789436,4.84885,4.527051,4.640812,4.935369,5.044039,4.913385,4.858636,5.387753,4.612294,4.957168,4.509594,4.558201,4.627693,4.644909,5.100713,4.903689,4.533936,4.763563,4.64344,4.736553,4.356194,4.593805,4.927962,4.777201,5.565148,4.66514,4.99998,4.194255,4.859195,5.498761,4.618392,4.397102,4.300706,4.082219,4.603736,4.400474,4.65881
IL17F,4.901593,3.62958,4.164472,3.589161,3.989176,4.444524,3.865043,3.666409,3.463222,3.457868,3.489034,3.631269,3.963861,4.42981,3.608219,3.890066,3.815364,3.61941,3.833108,3.819742,4.12833,3.902322,4.06642,4.000486,3.623513,3.50168,3.530957,3.759665,3.376686,3.747509,3.792807,3.468189,3.495647,3.372159,3.505021,3.463199,3.617074,3.455326,3.518531,3.836716,3.905137,3.418736,3.575713,3.81617,3.479195,3.635921,3.667813,3.365001,3.633389,4.016764,3.886733,3.761253,3.669779,3.364774,3.261868,3.581862,3.439385,3.882445,3.455566,3.373171,3.72374,3.690685,3.626262,3.888057,3.50447,3.78921,3.911358,3.379487,3.829435,3.742672,3.846662,3.616681,3.716517,3.706437,4.11378,3.709255,3.282853,3.530952,3.689128,3.289808,3.471523,3.619169,4.029431,3.838082,3.674692,3.650335,3.437713,3.759331,3.802866,3.893547,3.608428,3.740662,4.00516,4.068316,3.562457,3.771865,3.924644,3.55008,3.974406,4.118105,3.639159,3.428748,4.064666,3.611168,3.352207,3.890382,4.112299,3.766417,4.010464,3.513587,3.789504,3.73731,3.682647,3.675557,3.679986,3.748554,3.248956,3.696168,3.618436,3.978369,3.848385,3.500896,3.577002,3.199121,3.804224,4.058464,3.881755,4.152555,3.688703,5.160164,3.544554,4.283874,4.097671,3.565935,3.584145,3.995081,3.291169,4.178873,4.455363,4.079835,3.638302,4.439637,3.437182,3.495647,4.40538,3.883935,3.85495,4.078272,3.661111,3.652024,4.100384,3.846272,3.784181,3.613448,3.683616,3.549383,3.61571,3.540735,3.372358,3.983359,3.606272,3.670843,4.563846,3.646055,3.684548,3.572584,3.417625,3.158548,3.76349,4.140531,3.456515,3.422689,4.211557,3.303351,3.674436,4.036658,3.987782,4.341821,4.032948,4.487176,4.060979,4.134513,3.809083,4.116849,4.089391,4.258342,3.729204,4.241674,3.848322,4.305715,4.104479,4.380621,3.975382,3.830045,4.205128,4.194181,3.866085,4.48058,4.254916,4.150078,4.131178,3.970157,4.173308,4.042225,3.74613,3.689276,4.179293,3.790595,4.777954,3.557347,4.309947,3.806548,3.730502,5.022742,3.778693,3.932976,3.55215,3.368366,3.952351,3.847328,3.95984
IL1B,3.191791,3.149434,2.531561,2.638665,2.50016,3.319175,2.579449,2.203761,2.770258,2.297497,2.428391,2.742674,2.910664,2.968016,2.565383,4.574744,2.814029,2.497692,2.59084,2.537306,3.095715,2.667472,3.254199,2.988828,3.334178,2.651058,2.615497,2.548008,2.405915,2.628132,2.428374,2.887965,4.636724,2.755727,2.814266,3.038179,3.240143,2.559917,2.409121,3.378487,2.649783,2.438381,3.642392,2.792704,3.071745,2.798308,3.220536,2.228226,3.172536,2.604131,3.363302,2.553693,2.28688,2.839051,2.905544,2.808952,2.844789,2.526715,2.559319,2.865831,2.524857,3.406223,2.772827,2.502306,2.194836,3.098647,2.700367,2.422274,2.545373,2.241779,2.934434,4.537133,2.375437,2.534992,3.111979,2.497375,2.450403,2.500081,2.337531,2.225254,2.899757,2.324861,2.775397,2.612672,2.687497,2.462888,2.607757,2.405192,2.382729,2.511699,2.711478,2.765579,2.800764,2.828475,2.588128,2.465634,2.352179,2.488989,2.719763,2.513772,2.602975,2.734034,2.982873,2.722724,2.769672,2.808952,2.355211,2.284979,2.978317,2.279126,2.75731,3.465946,2.480436,2.581872,2.487065,2.871065,2.518694,2.444886,2.221432,2.838473,4.595734,2.761553,2.549851,2.272828,2.779385,2.492896,2.882967,2.89771,2.504405,3.539325,2.709342,2.947192,3.111975,2.411712,2.708129,2.736291,2.498569,2.9188,3.444539,2.579746,2.549898,3.418035,2.80912,2.547767,3.297931,2.717328,2.47578,3.312756,2.846924,2.285384,3.03051,2.684322,2.877871,3.885049,2.618098,2.4602,2.530148,2.990547,2.431099,3.003381,2.351211,3.234504,3.917408,3.06921,2.445923,2.512661,2.396941,2.591148,2.997218,2.613744,3.558314,2.467644,2.596834,2.470643,2.944571,3.216004,2.760679,2.902701,2.821356,2.858207,2.817828,3.558459,4.425625,3.531627,2.693135,3.059724,2.710742,3.107826,2.811791,2.866663,2.511241,3.058386,3.232533,3.105344,2.567781,2.878708,2.554891,2.819194,2.892879,2.881539,2.727781,2.687999,3.295111,2.765393,3.886977,2.482984,2.874481,2.955187,6.506463,2.911478,3.615854,2.149139,3.382712,3.211913,2.547226,2.644751,2.495955,2.452271,2.688182,2.747343,2.707746
