"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070665","positive regulation of leukocyte proliferation","7/135","173/18860",0.0404624277456647,5.65275101691287,5.22009459184801,0.000250172403821292,0.0112247165337176,0.0095199667472015,"CCL19/CCL5/CSF1/HLA-DPB1/PRKCQ/SLAMF1/VCAM1",7
"GO:0002688","regulation of leukocyte chemotaxis","6/135","126/18860",0.0476190476190476,6.65255731922399,5.4054305384211,0.000293479547158469,0.0129239696878303,0.0109611464396808,"CCL19/CCL5/CSF1/CXCL12/SERPINE1/SLAMF1",6
"GO:0030098","lymphocyte differentiation","11/135","441/18860",0.0249433106575964,3.48467288149828,4.48302119447658,0.000335584064983573,0.0145094346641988,0.0123058194929861,"CCL19/CD2/CD3D/CD79A/CTLA4/IL2RG/INPP5D/IRF4/SLAMF1/VCAM1/ZBTB16",11
"GO:0061448","connective tissue development","9/135","307/18860",0.0293159609120521,4.09554831704669,4.64317448110088,0.000371682887207966,0.0157832483175097,0.0133861731558358,"COL1A1/COL3A1/CSF1/CTSK/LUM/PRRX1/SFRP2/SLC26A2/ZBTB16",9
"GO:0048247","lymphocyte chemotaxis","4/135","48/18860",0.0833333333333333,11.641975308642,6.26816877883822,0.000382715107002362,0.0159666056921336,0.0135416831951344,"CCL5/CXCL12/PIK3CG/SAA1",4
"GO:0033628","regulation of cell adhesion mediated by integrin","4/135","49/18860",0.0816326530612245,11.4043839758125,6.19189768092972,0.000414438016986233,0.016703959396496,0.0141670515708407,"CCL5/PIK3CG/SERPINE1/SFRP2",4
"GO:0097028","dendritic cell differentiation","4/135","49/18860",0.0816326530612245,11.4043839758125,6.19189768092972,0.000414438016986233,0.016703959396496,0.0141670515708407,"CCL19/IRF4/TMEM176A/UBD",4
"GO:0010759","positive regulation of macrophage chemotaxis","3/135","21/18860",0.142857142857143,19.957671957672,7.38041919365138,0.00043405629329176,0.0172030977574634,0.0145903834727546,"CCL5/CSF1/SLAMF1",3
"GO:0042129","regulation of T cell proliferation","7/135","192/18860",0.0364583333333333,5.09336419753086,4.84058004665307,0.000469580695424387,0.0183059490773638,0.0155257396450928,"CCL19/CCL5/CTLA4/HLA-DPB1/PRKCQ/SLAMF1/VCAM1",7
"GO:0071622","regulation of granulocyte chemotaxis","4/135","53/18860",0.0754716981132075,10.5436757512229,5.90757371501736,0.000560263823218166,0.0214888285744,0.0182252204632599,"CCL19/CCL5/CSF1/SLAMF1",4
"GO:0090026","positive regulation of monocyte chemotaxis","3/135","23/18860",0.130434782608696,18.2222222222222,7.0171787439951,0.000571962354021289,0.0215893091724226,0.0183104406065963,"CCL5/CXCL12/SERPINE1",3
"GO:0007409","axonogenesis","11/135","472/18860",0.0233050847457627,3.25580665411174,4.21425612302555,0.000592484408074984,0.0220144987875361,0.0186710547018367,"APBB1/COBL/CXCL12/DCLK1/FLRT2/LAMA2/MYH10/PLPPR4/PRKCQ/ROBO2/THY1",11
"GO:0048260","positive regulation of receptor-mediated endocytosis","4/135","54/18860",0.0740740740740741,10.3484224965706,5.84120296782165,0.000601754336182069,0.0220149509452455,0.0186714381882566,"APLNR/CCL19/SERPINE1/SFRP4",4
"GO:0050921","positive regulation of chemotaxis","6/135","145/18860",0.0413793103448276,5.78084291187739,4.90691867975951,0.00062021344132992,0.0223464782345841,0.0189526148897628,"CCL19/CCL5/CSF1/CXCL12/SERPINE1/SLAMF1",6
"GO:0071677","positive regulation of mononuclear cell migration","5/135","98/18860",0.0510204081632653,7.12773998488284,5.16403410917635,0.000695387106601911,0.0246810528283484,0.0209326268067441,"CCL5/CSF1/CXCL12/SERPINE1/SLAMF1",5
"GO:2000107","negative regulation of leukocyte apoptotic process","4/135","58/18860",0.0689655172413793,9.63473818646232,5.59211955630887,0.000789671023686542,0.0275662821864002,0.0233796629937332,"CCL19/CCL5/CXCL12/PRKCQ",4
"GO:0050671","positive regulation of lymphocyte proliferation","6/135","153/18860",0.0392156862745098,5.47857661583152,4.72279344483595,0.000821700089764185,0.0275662821864002,0.0233796629937332,"CCL19/CCL5/HLA-DPB1/PRKCQ/SLAMF1/VCAM1",6
"GO:0050852","T cell receptor signaling pathway","6/135","153/18860",0.0392156862745098,5.47857661583152,4.72279344483595,0.000821700089764185,0.0275662821864002,0.0233796629937332,"CD3D/CTLA4/HLA-DPB1/INPP5D/LCP2/THY1",6
"GO:0022409","positive regulation of cell-cell adhesion","9/135","343/18860",0.0262390670553936,3.66569484936832,4.23045890752501,0.000823047113218844,0.0275662821864002,0.0233796629937332,"CCL19/CCL5/HLA-DPB1/IL2RG/PRKCQ/SLAMF1/THY1/VCAM1/ZBTB16",9
